eqpdays,months,change_mou,mou_Mean,totmrc_Mean,totcalls,adjrev,hnd_price,totrev,avgqty,adjqty,avgrev,mou_cvce_Mean,mou_peav_Mean,avg3mou,avgmou,avg3qty,adjmou,totmou,change_rev,rev_Mean,mou_opkv_Mean,churn
300,31,54.75,212.25,29.99,1022,1121.64,79.98999023,1175.81,33.23,997,37.39,109.71333329999999,133.04,194,118.6,44,3558.0,3720.0,6.2775,45.9425,24.53333333,0
195,7,23.25,286.75,44.99,747,276.02,149.98999019999997,354.0,124.0,744,46.0,113.67,70.14,279,256.0,130,1536.0,1542.0,-0.69,43.68,112.41333329999999,0
437,15,163.75,390.25,32.1625,2120,375.14,149.98999019999997,435.12,159.31,2071,28.86,86.56,78.83,336,254.92,199,3314.0,3376.0,5.425,25.345,58.83,1
243,8,-388.75,911.75,116.605,1864,1047.95,299.98999019999997,1152.93,264.0,1848,149.71,0.0,0.0,1041,823.57,329,5765.0,5796.0,-58.065,179.035,0.0,0
338,13,306.25,1423.75,103.8325,7134,1384.3,79.98999023,1474.28,593.92,7127,115.36,514.0566666999999,478.12,1322,1363.0,541,16356.0,16372.0,114.4875,143.0025,341.85333330000003,0
434,29,-268.0,734.0,57.49,6311,2351.59,149.98999019999997,2484.98,223.25,6251,83.99,435.50333330000007,297.7966667,823,565.93,291,15846.0,16018.0,-9.615,107.995,229.19666669999998,1
241,8,-106.0,769.0,49.905,821,334.77,149.98999019999997,420.65,117.14,820,47.82,516.54,156.3233333,804,518.29,160,3628.0,3629.0,-3.17,43.55,401.03333330000004,0
309,10,30.75,52.25,10.0,209,94.42,29.98999023,138.93,22.67,204,10.49,0.0,0.0,42,55.11,23,496.0,508.0,-0.48,10.48,0.0,1
635,21,-111.5,240.5,30.0,2333,863.53,149.98999019999997,955.35,118.37,2249,45.45,86.53333333,121.05,278,232.84,168,4424.0,4639.0,-21.015,55.255,25.22,1
292,10,-222.75,734.75,10.0,2005,362.41,149.98999019999997,362.41,220.89,1988,40.27,439.95666669999997,466.1966666999999,809,566.89,280,5102.0,5124.0,-25.575,38.545,104.66,1
