eqpdays,months,change_mou,mou_Mean,totmrc_Mean,totcalls,adjrev,hnd_price,totrev,avgqty,adjqty,avgrev,mou_cvce_Mean,mou_peav_Mean,avg3mou,avgmou,avg3qty,adjmou,totmou,change_rev,rev_Mean,mou_opkv_Mean,churn
225.0,8,37.75,150.25,44.99,475,249.98,199.9899902,320.59,65.0,455,35.71,96.78333333,103.8666667,138,185.57,41,1299.0,1349.0,-0.9475,35.9375,13.50666667,0
220.0,7,-125.75,229.75,10.0,280,50.71,79.98999023,50.71,46.17,277,8.45,183.7333333,148.54,272,177.0,71,1062.0,1091.0,-0.09,10.09,43.52333333,0
227.0,8,-88.25,433.25,84.99,972,670.0,149.98999019999997,714.7,135.14,946,95.71,192.95,205.3933333,463,425.71,132,2980.0,3058.0,-0.2475,85.2375,30.85333333,1
893.0,31,-17.75,697.75,59.99,2417,1596.54,29.98999023,1646.53,93.84,2346,63.86,391.8166667,368.2833333,704,554.28,106,13857.0,14232.0,-4.4,54.39,190.1533333,0
514.0,17,21.0,340.0,34.99,1949,722.76,29.98999023,735.09,126.73,1901,48.18,134.23,141.3366667,333,241.53,166,3623.0,3694.0,7.35,83.99,65.07,0
81.0,18,292.5,137.5,16.935,1104,683.84,149.98999019999997,751.36,72.87,1093,45.59,59.43333333,58.43666667,40,144.73,29,2171.0,2196.0,124.36,51.72,26.21,1
364.0,12,29.75,869.25,69.99,3656,1337.72,149.98999019999997,1417.7,330.73,3638,121.61,468.63666669999986,357.9666667,859,976.27,317,10739.0,10809.0,6.075,79.495,219.2233333,0
328.0,11,-455.75,571.75,44.99,1123,1315.14,149.98999019999997,1385.75,111.8,1118,131.51,377.7333333,500.87,724,533.7,138,5337.0,5346.0,-137.5875,172.5775,62.71666667,1
291.0,10,-47.0,132.0,44.99,198,303.07,149.98999019999997,368.05,24.0,192,37.88,87.94666667,55.97,148,125.38,25,1003.0,1017.0,0.0,38.99,40.49666667,1
120.0,36,-98.0,228.0,30.0,2391,1305.89,29.98999023,1372.56,73.53,2353,40.81,91.09333333,80.70666667,261,114.44,152,3662.0,3706.0,-7.1125,39.0925,25.88,1
345.0,12,39.75,222.25,44.99,1236,390.65,29.98999023,455.63,109.91,1209,35.51,0.0,0.0,209,215.27,117,2368.0,2417.0,-7.7625,32.4025,0.0,0
217.0,48,-445.5,2379.5,75.0,42006,6121.0,99.98999023,6208.5,892.94,41968,130.23,959.0033333,1408.613333,2528,2151.88,1012,101138.46,101256.4633,-23.86,163.92,307.5033333,0
186.0,9,-18.0,38.0,10.0,318,362.3,79.98999023,443.18,39.75,318,45.29,29.43,28.29,44,105.88,18,847.0,847.0,-0.2475,10.2475,1.233333333,1
10.0,19,157.25,291.75,30.0,1482,353.99,199.9899902,383.99,121.64,1338,32.18,123.1333333,107.0133333,239,218.27,130,2401.0,2672.0,22.125,38.715,92.78333333,1
660.0,36,-7.5,26.5,19.99,9297,1597.19,9.989997864,1661.27,318.0,9222,55.08,5.44,9.92,29,684.59,16,19853.0,20005.0,-0.2775,20.2675,2.08,1
226.0,7,-51.5,204.5,69.99,488,364.27,29.98999023,434.88,81.33,488,60.71,122.52,81.64,222,201.67,88,1210.0,1210.0,0.0,59.99,53.63666667,0
331.0,11,112.5,147.5,69.99,503,585.88,129.9899902,645.86,50.3,503,58.59,0.0,0.0,110,143.2,42,1432.0,1432.0,-0.2475,60.2375,0.0,1
651.0,37,-92.5,533.5,29.99,4958,1139.69,79.98999023,1188.06,135.44,4876,31.66,236.0,111.5666667,564,251.08,325,9039.0,9166.0,-1.19,31.18,217.6333333,1
661.0,22,26.25,45.75,29.99,630,692.96,9.989997864,727.09,29.57,621,33.0,25.80333333,13.52,37,50.24,18,1055.0,1068.0,0.1125,33.0175,16.53333333,1
709.0,23,-38.0,80.0,29.99,608,426.57,29.98999023,429.67,27.64,608,19.39,51.07333333,50.52,93,74.55,35,1640.0,1640.0,0.975,29.015,4.286666667,0
302.0,10,87.0,562.0,44.99,1455,376.61,149.98999019999997,441.59,161.22,1451,41.85,0.0,0.0,533,536.44,170,4828.0,4855.0,20.2775,45.0925,0.0,1
239.0,8,44.25,60.75,29.99,156,213.26,29.98999023,273.78,22.0,154,30.47,30.6,26.86333333,46,59.0,16,413.0,416.0,0.0,29.99,3.736666667,1
551.0,42,-21.5,290.5,50.0,7283,1882.77,9.989997864,1932.75,179.0,7160,47.07,75.32333333,72.73666667,298,307.95,174,12318.0,12472.0,0.2325,47.9075,79.14,1
195.0,12,140.75,896.25,39.99,3212,452.05,129.9899902,512.03,291.0,3201,41.1,379.75,161.91,849,906.73,289,9974.0,10001.0,1.1375,41.8025,478.61333330000014,0
935.0,31,61.5,44.5,29.99,557,832.48,29.98999023,869.97,20.63,557,30.83,19.19,24.11333333,24,51.37,12,1387.0,1387.0,-0.63,30.62,11.91,0
208.0,7,34.5,533.5,10.0,1596,118.09,149.98999019999997,433.22,266.0,1596,19.68,247.35,275.3666667,522,697.67,191,4186.0,4186.0,-0.585,10.585,105.5066667,0
336.0,11,18.0,405.0,59.99,574,538.67,59.98999023,618.65,57.1,571,53.87,266.6666667,189.0866667,399,490.8,45,4908.0,4911.0,-0.45,50.44,197.7633333,0
519.0,18,-11.5,11.5,19.99,373,296.36,29.98999023,346.05,11.63,186,18.52,6.003333333,0.466666667,15,21.19,4,339.0,761.0,-0.195,20.185,5.536666667,1
309.0,10,-97.5,438.5,44.99,1274,484.99,199.9899902,550.92,140.89,1268,53.89,193.91,259.6366667,471,400.78,158,3607.0,3619.0,-14.3275,67.6075,96.03666667,1
292.0,10,17.5,249.5,48.615,1354,553.25,29.98999023,624.3,147.67,1329,61.47,131.6,102.2133333,244,394.67,89,3552.0,3660.0,1.59,42.18,43.59333333,0
29.0,9,321.75,756.25,10.0,3378,209.45,129.9899902,263.52,416.5,3332,26.18,239.1333333,156.5333333,649,812.5,330,6500.0,6579.0,-1.74,12.13,338.16,0
44.0,15,-98.75,958.75,69.99,8947,1434.4,129.9899902,1508.38,623.21,8725,102.46,254.59,211.29,992,1186.93,535,16617.0,16925.0,-8.2675,72.2575,222.9833333,0
254.0,8,-177.25,415.25,83.4475,494,647.03,129.9899902,752.01,70.57,494,92.43,0.0,0.0,474,418.0,73,2926.0,2926.0,-43.3275,82.1475,0.0,1
392.0,13,-14.0,83.0,29.99,234,265.48,59.98999023,315.46,19.17,230,22.12,0.0,0.0,88,46.75,29,561.0,571.0,0.8775,22.6225,0.0,1
290.0,10,-45.75,158.75,39.99,648,187.76,199.9899902,427.73,81.0,648,23.47,0.0,0.0,174,189.25,79,1514.0,1514.0,-0.5175,30.5075,0.0,0
457.0,16,39.25,164.75,39.99,739,425.08,59.98999023,477.06,51.36,719,30.36,0.0,0.0,152,92.79,76,1299.0,1342.0,1.485,30.485,0.0,0
245.0,8,-12.75,26.75,44.99,167,251.41,129.9899902,317.02,23.14,162,35.92,8.386666667,5.186666667,31,64.43,16,451.0,466.0,-0.2475,35.2375,5.42,0
653.0,33,-32.0,532.0,50.0,2834,1120.07,39.98999023,1207.17,132.19,2776,53.34,303.0433333000001,225.14,543,399.57,201,8391.0,8680.0,-8.06,58.06,141.39,1
197.0,7,-71.5,298.5,49.99,660,268.17,199.9899902,343.15,109.83,659,44.7,77.31,135.1866667,322,293.83,118,1763.0,1764.0,-7.0575,47.0475,31.42666667,1
307.0,19,-21.25,21.25,44.99,967,745.68,29.98999023,815.66,53.67,966,41.43,17.39666667,3.88,28,93.61,19,1685.0,1686.0,0.0,34.99,13.51666667,0
358.0,12,7.5,22.5,39.99,107,343.06,59.98999023,403.04,9.36,103,31.19,14.77333333,11.88333333,20,27.91,8,307.0,337.0,-0.865,30.855,2.89,1
